"Id","Name","Abbreviation","Country","Program","Type","Lat","Long","Altitude(m)","Trials","Nearest NOAA Station ID"
"27","Iowa","IW","USA United States of America","LSU Rice","Farm","30.2188","-93.0693","30","11 trials","GHCND:US1LACC0003"
"28","Monroe","MR","USA United States of America","LSU Rice","Farm","32.3899","-91.9798","30","1 trials","GHCND:US1LAOC0005"
"29","Vermilion","VM","USA United States of America","LSU Rice","Farm","30.06","-92.646","30","1 trials","GHCND:USC00164700"
"30","Jeff Davis","JD","USA United States of America","LSU Rice","Farm","30.3192","-92.9459","30","18 trials","GHCND:US1LACC0003"
"31","Palmetto","PL","USA United States of America","LSU Rice","Farm","30.7956","-91.8991","30","14 trials","GHCND:USC00166995"
"32","Rice Research Station","RRS","USA United States of America","LSU Rice","Farm","30.2418","-92.3458","30","626 trials","GHCND:USC00162212"
"33","Mamou","MM","USA United States of America","LSU Rice","Farm","30.6407","-92.4488","30","28 trials","GHCND:USC00162981"
"34","St. Joseph","SJ","USA United States of America","LSU Rice","Farm","31.9441","-91.2324","30","18 trials","GHCND:USC00168163"
"35","Cheneyville","CH","USA United States of America","LSU Rice","Farm","31.0115","-92.2974","30","1 trials","GHCND:USC00161232"
"36","Calcasieu","CS","USA United States of America","LSU Rice","Farm","30.2625","-93.0798","30","2 trials","GHCND:US1LACC0003"
"37","East Carroll","EC","USA United States of America","LSU Rice","Farm","32.8007","-91.1758","30","5 trials","GHCND:USC00166866"
"38","Catahoula","CT","USA United States of America","LSU Rice","Farm","31.4544","-91.9496","30","1 trials","GHCND:USC00164739"
"39","Mowata","MW","USA United States of America","LSU Rice","Farm","30.4078","-92.3729","30","21 trials","GHCND:USC00162981"
"40","Morehouse","MH","USA United States of America","LSU Rice","Farm","32.9725","-91.4482","30","6 trials","GHCND:USW00053961"
"41","Pine Island","PI","USA United States of America","LSU Rice","Farm","30.3574","-92.7856","30","4 trials","GHCND:USC00164775"
"42","Lake Arthur","LK","USA United States","","Farm","30.0526","-92.6468","30","39 trials","GHCND:USC00165065"
"43","Texas","TX","USA United States of America","LSU Rice","Farm","30.6278","-96.3342","520","36 trials","GHCND:USW00053907"
"44","Arkansas","AR","USA United States of America","LSU Rice","Farm","36.0625","-94.1572","200","40 trials","GHCND:USC00031750"
"45","Missouri","MO","USA United States of America","LSU Rice","Farm","38.9517","-92.3339","240","36 trials","GHCND:USC00234694"
"46","Mississippi","MS","USA United States of America","LSU Rice","Farm","34.3664","-89.5192","90","36 trials","GHCND:USW00013978"
"47","Rice Research Station South","SF","USA United States of America","LSU Rice","Farm","30.1799","-92.3553","30","22 trials","GHCND:USC00162212"
"48","California","CA","USA United States","LSU Rice","Farm","39.464867","-121.7321","30","36 trials","GHCND:US1LAAC0003"
"49","Winnsboro","WB","USA United States of America","LSU Rice","Farm","32.1383","-91.69","30","15 trials","GHCND:USC00169804"
"50","Richland","RIC","USA United States of America","LSU Rice","Farm","32.4281","-91.7781","30","7 trials","GHCND:USC00166866"
"51","UA Rice Res and Ext Center","RREC","USA United States of America","LSU Rice","Farm","34.4756","-91.4842","30","6 trials","GHCND:USC00036920"
"52","Pine Tree Research Station","PTRS","USA United States of America","LSU Rice","Farm","35.12531","-90.931","30","4 trials","GHCND:USC00038052"
"53","UA Northeast Res and Ext Ctr","NEREC","USA United States","LSU Rice","Farm","35.67553","-90.0871","30","4 trials","GHCND:USC00033821"
"54","Nutrien Rice Breeding Station","NAS","USA United States of America","LSU Rice","Farm","29.05732","-96.26568","30","2 trials","GHCND:US1TXWH0002"
"55","Bay City","BC","USA United States of America","LSU Rice","Farm","29.01289","-95.97409","30","2 trials","GHCND:USC00410569"
"56","Wintermann Rice Research Station","WRRS","USA United States of America","LSU Rice","Farm","29.6212","-96.366","30","2 trials","GHCND:USC00412676"
"57","UA Northeast Rice Res & Ext Ctr","NERICE","USA United States of America","LSU Rice","Farm","35.6502","-90.7123","30","2 trials","GHCND:USW00003953"
"58","Desha County","DES","USA United States of America","LSU Rice","Farm","33.6288","-91.4331","30","2 trials","GHCND:USC00033831"
"59","Lawrence County","LAW","USA United States of America","LSU Rice","Farm","36.0475","-91.0224","30","2 trials","GHCND:USC00030064"
"60","Rice Research Station - Late","RRSL","USA United States","LSU Rice","Farm","30.2457","-92.35354","","13 trials",""